year,thermal,LNG,nuclear,renewable,other,individual,total
2022,188476694,123995839,176054012,47266256,58156521,30650791,624600113
2021,191575365,130358255,158015230,39101556,56735144,26152804,601938354
2020,189426013,111759245,160183721,31056508,58060232,26626181,577111901
2019,220918428.1,110288811.4,145909669.5,30526256.64,54250733.72,24912104,586806004
2018,237498286,116835607,133505261,27176674,54831828,23056972,592904629
2017,237331541,99618991,148426725,24145361.58,43702984.07,23186525,576412127
2016,222623477,96922270,161995104,18935660,39743925,20764155,560984590
2015,216378172.9,100598385.2,164762415.9,17317948.6,28457914.79,20286965,547801803
2014,211171971,111711465,156406511,14695690.36,27423452.92,18969708.75,540378798.7
2013,218585257,124400011,138783973,10159658,23538032,21702345,537169276
2012,216336004,110881933,150327293.3,8617868.866,21317108.41,23721658,531201866
2011,211204803.4,101479383.6,154723106.8,7592387.053,21080251.36,22087884,518167816
2010,211449271.3,94012137.81,148595711.6,4478057.639,15282830.71,21210353.91,495028363
2009,206535072.8,64486008.96,147770806.9,1790608.507,12165112.27,19699851.42,452447460.9
2008,183655356.4,74519351.72,150957935.6,1373424.825,11119780.61,20985108.54,442610957.7
2007,173415074.1,76405417.94,142937163.7,830824.244,8705957.945,23112851,425407288.9
2006,155910915.5,67138341.69,148748887.4,511223.189,8492647.825,22186927,402988942.6
2005,151207195.3,57456897.65,146779022.9,404100.729,8522772.229,25109521.7,389479511.5
2004,145364709.9,55451941.09,130714815.6,350183.218,9820868.103,26331037.61,368033551.6
2003,140269474.7,40374645.73,129671762.8,0,7257108.26,30183217.61,347756209
2002,138929483.8,38336950.93,119102904.7,0,5664069.009,29987539,332020947.5
2001,135436741.2,29032970.52,112133032.6,0,4475691.789,28807516,309885952
2000,119947533,26863140,108963740,0,5903683,28764853,290442948
1999,96472548,28675046,103063779,0,6447930,27492843,262152146
1998,89041578,26505047,89688972,0,6674327,25287483,237197406
1997,104797943,34424111,77085649,0,6121550,24208219,246587471
1996,96946176,26942526,73924340,0,5973170,22059507,225845719
1995,89253122,20521322,67028647,0,6302737,20440636,203546465
1994,83806601,16046714,58650918,0,4887175,19974124,183365532
1993,68915865,9187862,58138203,0,6646546,19012475,161900951
1992,62114543,5464029,56530214,0,5437269,16893229,146439284
1991,55388743,784966,56310750,0,5522367,13609318,131616144
1990,47097508,618542,52886562,0,6790415,11067768,118460795
1989,41754022,220718,47365172,0,4810915,9472788,103623615
1988,41143955,172045,40100672,0,3775801,7916374,93108847
1987,28927249,66011,39314193,0,5515444,6428451,80251347
1986,32107577,52820,28311217,0,4141134,5067849,69680596
1985,37410835,57794,16745341,0,3720035,4733196,62667201
1984,39460971,99021,11792059,0,2439672,4559920,58351643
1983,36896635,214259,8965058,0,2764257,4196606,53036815
1982,36960306,331734,3777289,0,2050442,4044232,47164003
1981,34304653,258115,2897205,0,2746692,3881638,44088303
1980,31356437,369315,3477154,0,2035728,2838921,40077554
1979,28840761,1085938,3151904,0,2521338,2670452,38270393
1978,25397308,1508268,2324376,0,2280028,1902084,33412064
1977,24374360,305096,71466,0,1835825,1433840,28020587
1976,21082074,0,0,0,2034622,1300682,24417378
1975,17951094,0,0,0,1886157,1016737,20853988
1974,14747323,0,0,0,2087497,1019151,17853971
1973,13490471,0,0,0,1335386,938283,15764140
1972,10402913,0,0,0,1436438,611897,12451248
1971,9049960,0,0,0,1490133,601739,11141832
1970,7586843,0,0,0,1580602,598946,9766391
1969,5601958,0,0,0,2098010,501158,8201126
1968,4312364,0,0,0,1739333,535986,6561867
1967,3620612,0,0,0,1294771,384784,5297909
1966,2845048,0,0,0,1040766,348929,4234736
1965,2495247,0,0,0,754691,316555,3566493
1964,1874578,0,0,0,825661,284862,2984884
1963,1431835,0,0,0,832262,266501,2502890
1962,1199018,0,0,0,779943,186323,2164829
1961,1118279,0,0,0,654642,163497,1936418
