연도,초등학교_전체,초등학교_과목: 일반교과 사교육,초등학교_국어,초등학교_영어,초등학교_수학,"초등학교_사회, 과학",초등학교_논술,"초등학교_제2외국어, 한문, 컴퓨터 등","초등학교_과목: 예체능, 취미·교양 사교육",초등학교_음악,초등학교_미술,초등학교_체육,초등학교_취미·교양,초등학교_과목: 취업관련 사교육,초등학교_과목: 진로·진학 학습상담,중학교_전체,중학교_대도시,중학교_과목: 일반교과 사교육,중학교_국어,중학교_영어,중학교_수학,"중학교_사회, 과학",중학교_논술,"중학교_제2외국어, 한문, 컴퓨터 등","중학교_과목: 예체능, 취미·교양 사교육",중학교_음악,중학교_미술,중학교_체육,중학교_취미·교양,중학교_과목: 취업관련 사교육,중학교_과목: 진로·진학 학습상담,고등학교_전체,고등학교_과목: 일반교과 사교육,고등학교_국어,고등학교_영어,고등학교_수학,"고등학교_사회, 과학",고등학교_논술,"고등학교_제2외국어, 한문, 컴퓨터 등","고등학교_과목: 예체능, 취미·교양 사교육",고등학교_음악,고등학교_미술,고등학교_체육,고등학교_취미·교양,고등학교_과목: 취업관련 사교육,고등학교_과목: 진로·진학 학습상담
2013,77375,52813,4747,25918,14974,2739,3139,1297,24563,10308,3494,9397,1363,0,0,57831,27195,53016,3691,21808,22713,3100,1108,595,4815,1740,731,1713,630,0,0,50754,42973,4199,15591,20075,1309,1487,311,7363,2520,2624,978,1241,418,0
2014,75949,49920,4310,24804,14682,2395,2679,1049,26029,10455,3423,10809,1342,0,0,55678,25556,51122,3043,21349,22484,2757,1021,468,4556,1663,653,1740,500,0,0,50671,42790,3964,15344,20516,1647,1084,234,7365,2552,2528,985,1299,516,0
2015,75287,47950,4265,22886,14288,2386,2857,1268,27337,10393,3479,11869,1597,0,0,52384,23797,47678,2701,19918,20924,2563,1028,544,4706,1660,636,1763,646,0,0,50675,43320,3882,15544,20720,1753,1103,316,6687,1871,2471,1254,1091,669,0
2016,77438,45484,4030,21631,12917,2312,3267,1328,31955,12249,3912,13676,2118,0,0,48102,22439,43053,2456,17659,18890,2423,1081,544,5049,1654,539,2225,631,0,0,55065,46520,4832,16154,21830,2290,1042,372,7729,2342,2901,1262,1223,816,0
2017,81311,46956,4558,21354,13789,2673,3244,1338,34238,12406,4229,15060,2544,0,116,48297,22858,42317,2527,17383,18367,2354,1126,560,5864,1933,853,2355,724,0,116,57095,46592,5491,15513,21775,2393,904,516,9057,2312,2808,2133,1805,1197,249
2018,85531,50326,4808,22894,14504,2567,3881,1674,35039,11740,4597,16024,2678,0,166,49972,23000,43864,2559,17856,19214,2356,1347,532,5981,1592,768,2815,807,0,127,59348,48410,6488,15979,21762,2821,802,558,9686,3004,3353,1813,1516,929,324
2019,95597,56545,5098,25797,16591,2611,4201,2247,38814,12982,5281,18027,2524,0,237,52554,23639,46191,2615,18859,20112,2509,1295,802,6210,1896,856,2594,864,0,153,61819,51315,7300,16725,22211,3383,1029,666,9250,2828,2982,1903,1536,910,344
2020,76107,51176,5173,22951,15805,2245,3704,1297,24685,8641,3375,11270,1398,0,247,53943,24902,48070,3018,19413,20927,2537,1560,616,5728,1552,755,2686,735,0,145,63482,53978,7823,17544,23228,4004,730,649,8228,2239,2829,1905,1254,895,382
2021,105279,66977,6394,30837,19962,2906,4875,2003,38089,13053,5686,17373,1976,0,213,63480,28301,56719,4057,22550,24076,3354,1912,770,6603,1614,907,3196,886,0,158,65399,55701,8820,18010,23318,4206,731,617,8410,2188,3322,1630,1269,901,387
2022,119055,74849,7082,34525,22585,2989,5398,2271,43973,14404,6382,20832,2355,0,233,70832,31291,61946,4682,24689,26357,3504,1996,718,8695,2005,1361,4261,1068,0,191,69651,59141,9813,18729,24304,4867,842,587,9307,2731,3136,1894,1546,736,466
