time,weekday_inner,weekday_outer,sat_inner,sat_outer,holiday_inner,holiday_outer
5시30분,20.2,81,19.1,48.7,14.8,20.7
6시00분,15.6,54.4,15.2,32.8,11.5,16.7
6시30분,15.5,59.5,9.8,33.4,8.1,17.4
7시00분,21.5,96.9,10.6,36.8,7.1,20.4
7시30분,27.3,115.6,10.9,35.4,7.8,20.7
8시00분,38.3,141.5,18.8,55.9,10.5,29.1
8시30분,31.3,172.3,19.9,72.3,12.9,37.6
9시00분,26.5,141.3,22.6,76.7,14,44
9시30분,18.1,98.8,23.2,83.7,17.9,49.1
10시00분,22.8,70.9,26.1,75.7,20.6,41.8
10시30분,22.5,74.9,29.5,68.1,21.2,41.3
11시00분,19.9,48.1,26.1,64.5,17.7,43
11시30분,31.4,49.5,38.6,78.3,27,50.9
12시00분,35.1,53.8,41.5,64.6,24.5,38.5
12시30분,33.2,50.1,36.5,65,25.5,41
13시00분,40.7,48.8,50.6,80.2,35.5,57.6
13시30분,41.4,51,52.9,62.9,33.9,41.5
14시00분,42.4,41.2,45.8,56.2,28,41
14시30분,49.1,42.1,52.2,70.8,37.7,51.8
15시00분,64.6,39.5,57.3,49.6,33.4,32.8
15시30분,64.9,38.3,59.1,54.5,36.7,39.1
16시00분,80.4,42.7,80.6,61.8,50.8,45.7
16시30분,78.5,39.7,78.2,70.6,42.1,49.2
17시00분,105.6,41.4,67,57.1,45.2,36.9
17시30분,124,43.7,70.9,53.7,45,34.3
18시00분,116.8,45.5,65.9,48.3,51.5,35.8
18시30분,139.5,52.2,71.3,40.6,57.4,29.4
19시00분,114.4,33.8,58.9,32.6,45.4,25.6
19시30분,70.2,27.7,62.8,23.4,46.9,19.9
20시00분,67.1,24.2,59.8,25.8,47,21.6
20시30분,70.7,22.9,59.9,24.7,47.8,20.8
21시00분,71.9,31.5,69.5,28.1,64.9,18.5
21시30분,101.4,27.8,79.6,28.7,52.8,19.5
22시00분,95.5,24.6,84.1,24.4,49.7,14.2
22시30분,68.8,22.1,69.4,32.4,45.8,17.9
23시00분,52.9,21.2,45.1,30.5,34.4,12.4
23시30분,30.1,13,61.8,15.4,30.3,15.7
00시00분,26,9.6,,,,
00시30분,26.5,6.2,,,,
