품목명,수출중량,수출금액,수입중량,수입금액,무역수지
전자기기 관련,1464351374,92160405,1227281356,69425323,22735083
자동차 관련,4858326723,53951841,747532042,13746720,40205121
기계류 등,3060650774,40178737,1481486799,38906745,1271991
광물 관련,37753401539,29479130,1.98E+11,100883473,-71404343
플라스틱 등,9867599325,20742112,1688215952,7362035,13380078
철강,14806535121,15364373,12193220227,10372826,4991546
유기화학품,10256951185,11921359,4525453611,8205758,3715601
무기화학품 등,3209377729,10804834,2495673280,14254488,-3449654
광학기기 등,5720381344,10170847,103648982,12954379,9290437
구리 등,118219655,9503427,45655987875,11414372,-3450952
